buildA,buildB,labelA,labelB,seedIndex,seed,winner,durationSeconds,timeout,hpA,hpB
brawler-base,brawler-base,Brawler base,Brawler base,64,4142767524,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,65,4159545143,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,66,4176322762,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,67,4193100381,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,68,3941436096,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,69,3958213715,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,70,2029037793,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,71,2012260174,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,72,1995482555,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,73,1978704936,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,74,2096148269,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,75,2079370650,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,76,2062593031,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,77,2045815412,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,78,1894816841,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,79,1878039222,a,13.45,false,0,0
brawler-base,longshot-base,Brawler base,Longshot base,0,2380115747,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,1,2363338128,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,2,2413670985,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,3,2396893366,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,4,2447226223,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,5,2430448604,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,6,2480781461,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,7,2464003842,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,8,2514336699,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,9,2497559080,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,10,1626886880,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,11,1643664499,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,12,1660442118,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,13,1677219737,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,14,1693997356,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,15,1710774975,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,16,1727552594,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,17,1744330213,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,18,1761107832,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,19,1777885451,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,20,4076860539,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,21,4060082920,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,22,4110415777,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,23,4093638158,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,24,4143971015,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,25,4127193396,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,26,4177526253,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,27,4160748634,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,28,3942639587,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,29,3925861968,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,30,1828512498,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,31,1845290117,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,32,1794957260,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,33,1811734879,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,34,1761402022,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,35,1778179641,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,36,1727846784,a,14.25,false,40,0
